id,value
Faggio,27
Faggio,36
Abete bianco,34
Bagolaro,16
Castagno,27
Platano orientale,21
Castagno,19
Abete bianco,40
Pino laricio,23
Faggio,32
Abete bianco,38
Faggio,30
Abete bianco,33
Abete bianco,25
Pero selvatico,6
Pioppo canescente,21
Pino d'Aleppo,18
Sequoia sempreverde,21
Sequoia gigante,25
Abete del Caucaso,28
Castagno,26
Leccio,24
Farnia,16
Pino loricato,12
Roverella,15
Frassino maggiore,18
Pino loricato,15
Faggio,39
Castagno,15
Castagno,28
Olivo,18
Castagno,12
Castagno,15
Castagno,12
Castagno,15
Castagno,15
Castagno,20
Roverella,20
Pino laricio,28
Pino laricio,31
Pino laricio,21
Castagno,20
Roverella,20
Cedro dell'Himalaya,24
Pino loricato,16
Faggio,19
Rovere,27
Rovere,24
Olivo,7
Olivo,6
Castagno,16
Platano orientale,32
Frassino meridionale,18
Pino loricato,17
Pioppo nero,12
Pino laricio,14
Pino laricio,43
Acero di monte,18
Abete bianco,15
Olmo campestre,8
Carrubo,12
Roverella,12
Pino d'Aleppo,19
Frassino maggiore,19
Eucalipto rostrato,22
Acero di monte,24
Rovere,24
Fico magnolioide,15
Roverella,21
Cedro del Libano,22
Sughera,17
Faggio,37
Abete bianco,33
Pino laricio,37
Pino laricio,30
Olmo campestre,26
Pino domestico,24
Abete bianco,26
Ontano nero,20
Abete bianco,25
Sequoia sempreverde,34
Pino strobo,35
Pioppo nero,27
Roverella,25
Faggio,23
Pino domestico,25
Abete bianco,35
Faggio,25
Faggio,20
Pino laricio,20
Eucalitto rostrato,30
Platano comune,28
Ontano nero,18
Rovere,20
Cerro-Roverella,17
Cerro-Roverella,13
Cerro-Roverella,20
Pino laricio,25
Rovere meridionale,22
Olmo campestre,10
Castagno,14
Castagno,16
Tasso,15
Abete bianco,30
Abete bianco,30
Pino laricio,30
Libocedro,25
Abete bianco,25
Quercia castagnara,20
Roverella,19
Olivo,27
Abete bianco,32
Castagno,26
Abete bianco,35
Tasso,20
Abete bianco,33
Abete bianco,30
Abete bianco,45
Roverella,21
